P7-1,2.55.869,101.40.175
P7-2,2.55.823,101.40.362
P7-3,2.55.834,101.40.352
P9-1,2.56.216,101.40.367
P9-2,2.56.88,101.40.373
P9-3,2.56.334,101.40.404
P9-4,2.56.275,101.40.388
P9-5,2.56.464,101.40.470
P9-6,2.56.480,101.40.491
P9-7,2.56.604,101.40.575
P9-8,2.56.588,101.40.605
P9-9,2.56.716,101.40.677
P9-10,2.56.687,101.40.681
9B-1,2.56.349,101.40.309
9B-2,2.56.343,101.40.312
9B-3,2.56.545,101.40.369
9B-4,2.56.540,101.40.377
9B-5,2.56.650,101.40.545
9B-6,2.56.655,101.40.562
9F-1,2.56.446,101.40.606
9F-2,2.56.445,101.40.607
9F-3,2.56.446,101.40.600
9C-1,2.56.336,101.40.596
9C-2,2.56.322,101.40.599
9C1-1,2.56.227,101.40.704
9C1-2,2.56.248,101.40.705
9C1-3,2.56.146,101.40.644
9C1-4,2.56.137,101.40.642
9C1-5,2.56.063,101.40.580
9C1-6,2.56.068,101.40.585
9C1-7,2.56.506,101.40.801
9C1-10,2.56.401,101.40.815
9C1-11,2.56.394,101.40.817
9C1-12,2.56.361,101.40.789
9C1-13,2.56.352,101.40.798
LW-1,2.55.998,101.40.538
LW-2,2.55.988,101.40.520
9G-1,2.56.691,101.40.902
9G-2,2.56.691,101.40.893
9G-3,2.56.747,101.40.965
9G-4,2.56.771,101.40.966
9G-5,2.56.831,101.40.894
9G-6,2.56.833,101.40.928
9G-7,2.56.826,101.40.837
9G-8,2.56.826,101.40.822
9G-9,2.56.757,101.40.718
LPB-1,2.56.574,101.40.766
LPB-2,2.56.600,101.40.708
LS-1,2.56.272,101.40.816
LS-2,2.56.203,101.40.792
P11-1,2.56.875,101.40.605
P11-2,2.56.890,101.40.618
P11-3,2.56.997,101.40.569
P11-4,2.56.996,101.40.579
P11-5,2.57.246,101.40.470
P11-6,2.57.248,101.40.477
P11-7,2.57.378,101.40.430
P11-8,2.57.387,101.40.426
P11-9,2.57.342,101.40.129
P11-10,2.57.350,101.40.131
P11-11,2.57.591,101.39.903
P11-12,2.57.564,101.39.920
P11-13,2.57.722,101.39.900
P11-14,2.57.692,101.39.892
P11-15,2.57.879,101.40.080
P11-16,2.57.868,101.40.078
P11-17,2.57.938,101.40.261
P11-18,2.57.929,101.40.260
P11-19,2.58.065,101.40.554
P11-20,2.58.054,101.40.559
P11-21,2.57.845,101.40.766
P11-22,2.57.876,101.40.773
P11-23,2.57.604,101.40.765
11J-1,2.57.173,101.40.614
11J-2,2.57.175,101.40.621
11B-1,2.57.446,101.40.498
11B-2,2.57.435,101.40.603
11C-1,2.58.094,101.40.598
11C-2,2.58.164,101.40.603
11D-1,2.57.855,101.40.441
11D-2,2.57.838,101.40.444
11E-1,2.58.002,101.40.061
11E-2,2.57.992,101.40.063
11A-1,2.57.457,101.40.968
11A-2,2.57.445,101.40.969
11A-3,2.57.519,101.41.181
11A-4,2.57.505,101.41.184
P10-1,2.57.155,101.41.212
P10-2,2.57.112,101.41.198
P10-3,2.56.899,101.41.256
P10-4,2.56.947,101.41.228
P10-5,2.56.686,101.41.246
P10-6,2.56.679,101.41.250
P8-1,2.56.375,101.41.199
P8-2,2.56.322,101.41.186
P8-3,2.56.295,101.41.104
P8-4,2.56.299,101.41.040
P8-5,2.56.327,101.40.949
P8-6,2.56.324,101.40.935
P8-7,2.56.215,101.40.821
P8-8,2.56.205,101.40.822
P8-9,2.56.10,101.40.759
P8-10,2.55.990,101.40.777
P8-11,2.55.897,101.40.844
P8-12,2.55.902,101.40.849
8H-1,2.55.731,101.40.758
8H-2,2.55.732,101.40.757
PP2-1,2.55.666,101.41.206
PP2-2,2.55.659,101.41.210
PP2-3,2.55.638,101.41.296
PP2-4,2.55.651,101.41.318
PP2-5,2.55.499,101.41.250
PP2-6,2.55.516,101.41.279
PP2-7,2.55.373,101.41.207
PP2-8,2.55.395,101.41.233
PP2-10,2.55.252,101.41.182
THO-1,2.55.592,101.41.116
JP-1,2.55.197,101.41.132
PP3-1,2.55.227,101.41.156
PP3-2,2.55.147,101.41.150
PP3-3,2.55.110,101.41.115
PP3-4,2.55.106,101.41.131
PP3-5,2.55.3,101.41.78
PP3-6,2.54.961,101.41.82
MER-1,2.54.902,101.41.108
MER-2,2.54.888,101.41.105
MER-3,2.54.929,101.41.007
MER-4,2.54.931,101.40.994
MER-5,2.54.966,101.40.960
PP4-1,2.54.889,101.41.37
PP4-2,2.54.849,101.41.47
PP4-3,2.54.727,101.40.952
PP4-4,2.54.676,101.40.999
PP4-5,2.54.605,101.40.937
PP4-6,2.54.580,101.40.957
PP4-7,2.54.294,101.40.831
PP4-8,2.54.288,101.40.857
LST-1,2.54.820,101.41.060
LST-2,2.54.816,101.41.082
LST-3,2.54.856,101.40.982
TRZ-1,2.55.579,101.41.175
TRZ-2,2.55.071,101.40.974
TRZ-3,2.54.755,101.40.910
TRZ-4,2.54.655,101.40.842
TRZ-5,2.54.424,101.40.781
TAR-1,2.55.437,101.41.104
TAR-2,2.55.288,101.41.010
TAR-3,2.55.211,101.40.968
TAR-4,2.55.048,101.40.900
TAR-5,2.54.567,101.40.627
TAR-6,2.54.434,101.40.587
TAR-7,2.54.289,101.40.651
TH-1,2.54.952,101.41.284
TH-2,2.54.994,101.41.319
TH-3,2.54.818,101.41.207
TH-4,2.54.801,101.41.207
TH-5,2.54.579,101.41.048
TH-6,2.54.573,101.41.053
DG-1,2.54.208,101.40.865
DG-2,2.54.143,101.40.810
DG-3,2.54.231,101.40.772
DG-4,2.54.183,101.40.717
DG-5,2.54.311,101.40.755
LG-1,2.53.930,101.40.714
LG-2,2.53.879,101.40.707
P5-1,2.53.752,101.40.398
P5-2,2.53.740,101.40.397
P5-3,2.53.890,101.40.251
P5-4,2.53.876,101.40.258
P5-5,2.53.946,101.40.90
P5-6,2.53.936,101.40.102
P5-7,2.53.930,101.39.972
P5-8,2.53.922,101.39.968
P5-9,2.53.774,101.39.855
P5-10,2.53.825,101.39.942
P5-11,2.53.966,101.40.217
P5-12,2.53.967,101.40.221
P5-13,2.53.609,101.40.504
P5-14,2.53.614,101.40.493
P5-15,2.53.579,101.40.734
P5-16,2.53.576,101.40.746
P5-17,2.53.331,101.40.708
P5-18,2.53.345,101.40.529
P5-19,2.53.442,101.40.784
P5-20,2.53.434,101.40.790
PICC-1,2.53.732,101.40.649
P18-1,2.54.817,101.41.341
P18-2,2.54.804,101.41.401
P18-3,2.54.834,101.41.525
P18-4,2.54.740,101.41.569
P18-5,2.54.954,101.41.835
P18-6,2.54.961,101.41.848
P18-7,2.55.184,101.41.821
P18-8,2.55.119,101.41.855
P18-9,2.55.293,101.41.635
P18-10,2.55.294,101.41.617
18B-1,2.55.220,101.41.652
18B-2,2.55.222,101.41.643
18C-1,2.54.917,101.41.623
18C-2,2.54.911,101.41.635
18C-3,2.55.077,101.41.640
18C-4,2.55.075,101.41.649
18C-5,2.55.293,101.41.736
18C-6,2.55.294,101.41.744
18C-7,2.55.388,101.41.741
18C-8,2.55.408,101.41.745
18G-1,2.54.963,101.41.467
18G-2,2.54.955,101.41.472
WP-1,2.55.457,101.41.473
WP-2,2.55.455,101.41.471
WP-3,2.55.566,101.41.445
LB-1,2.55.281,101.41.239
LB-2,2.55.257,101.41.262
LB-3,2.55.300,101.41.432
LB-4,2.55.306,101.41.470
LB-5,2.55.449,101.41.647
LB-6,2.55.433,101.41.649
P17-1,2.55.580,101.42.411
P17-2,2.55.404,101.42.296
P17-3,2.55.409,101.42.290
17A-1,2.55.651,101.42.359
P16-1,2.55.695,101.42.003
P16-2,2.55.780,101.42.072
P16-3,2.55.956,101.42.215
P16-4,2.55.950,101.42.239
P16-5,2.56.070,101.42.491
P16-6,2.55.961,101.42.419
P16-7,2.56.143,101.42.603
P16-8,2.56.140,101.42.606
LPS-1,2.55.624,101.41.983
LPS-2,2.55.628,101.41.988
ALM-1,2.56.416,101.42.760
ALM-2,2.56.374,101.42.778
ALM-3,2.56.476,101.42.722
ALM-4,2.56.474,101.42.718
PR-P1,2.56.757,101.42.529
LPT-1,2.56.682,101.42.682
LPT-2,2.56.670,101.42.477
PSS-1,2.56.620,101.42.303
PSS-2,2.56.523,101.42.261
PSS-3,2.56.354,101.42.106
PSS-4,2.56.344,101.41.725
PSS-5,2.56.772,101.41.875
PSS-6,2.56.846,101.42.217
JPM-1,2.56.120,101.41.598
MP-1,2.56.078,101.41.434
P15-1,2.56.602,101.43.140
P15-2,2.56.554,101.43.301
P15-3,2.56.587,101.43.269
P15-4,2.56.475,101.43.295
P15-5,2.56.367,101.43.311
DIP-1,2.56.699,101.43.278
DIP-2,2.56.699,101.43.289
